price;asin
139;B07VNTFK87
319;B07T63FDJQ
115;B087QTVCHH
69;B07994QL95
164;B083JBZC5K
27;B07D5SVWS5
101;B07KPM58FX
115;B09SBKXNKQ
114;B0BDXSK2K7
270;B0832BL1HC
119;B01N99Q637
26;B091FRKWMD
114;B07X41PWTY
104;B07VTW2LPX
164;B09B424KYN
23;B0077IQ0AM
106;B083XVY99B
47;B0151KM3I0
57;B0BQG58F34
379;B07SPFPKF4
434;B0B94P481H
41;B0BRN3VGL1
47;B0BPPML4ZJ
233;B08KTM4SNY
2157;B09BD66Y2K
50;B0BJVKX7K6
720;B082PJS2ZP
39;B0BRMZT2T8
2494;B07PS166PL
101;B07CHL4NK8
50;B0BL1DSLCV
41;B0BQ3QQ9DS
51;B00C9TEBJQ
49;B0BRT2S9MW
114;B088G1249B
302;B07H24QRS4
159;B07GKHQ9M6
198;B07SW1BH6Q
262;B07FJJB382
87;B00D0243DU
34;B01NAUIA6G
327;B08R3Z2JL1
1699;B09BD5M3L3
143;B01M0SH124
412;B07YFGW736
89;B08XNJHGQ7
1457;B086X1M1CT
69;B0BLK7RNWB
45;B0BP2MHZ42
991;B09BD6W4BY
181;B07XDD6GD3
43;B007NVGWV0
156;B0BGM5RZ85
179;B07T4411LF
46;B0BQCC21YG
255;B07J35YWQY
99;B08TV9TFPB
109;B0BLK8YLYT
105;B07RMKNHM6
16;B09WDHD5QD
41;B087CPLWKP
60;B07KGMBCKD
33;B07KQXKK12
29;B01DRWWNX4
36;B0BN55M3R6
22;B088CS9MGD
61;B07JLX91RW
44;B0864JPNWM
164;B08PHSVW7K
47;B08MZPCKTH
47;B0881L45V7
50;B08T1TWQS9
25;B01D3ACIR6
72;B073SBX6TY
25;B0B2VN78JK
67;B0BJKVMDNP
27;B07CQPFLY1
16;B09DCK767L
110;B098TLNGGB
149;B078C515QL
31;B09H1653PD
101;B0B6G51DJD
47;B083ZL7JG2
36;B09P5BTJTJ
26;B09MG41W7Q
228;B09Q2NCFS7
38;B00D1E6RMW
64;B0B5Q9YBM6
16;B07QYV2699
28;B07Q43Y274
21;B0B63PGSL3
109;B07SGBJK7H
27;B081HSWCRS
90;B0B7VWFN4B
70;B084ZW96N8
56;B0BKGFVRWM
57;B01LYNQXCP
52;B07997KKSK
78;B08VH891FS
27;B07QHWGXYK
469;B089S33PR3
114;B08VH9NDV7
164;B07CN9QQ41
446;B0B94PNF7P
127;B07VP5WG78
609;B0B94MF4LP
164;B079HCMBFT
66;B07957Q6RY
154;B00HRNYWIO
50;B0BQ3R983P
42;B009AYVNMQ
72;B093Z5DD7C
46;B0BP2H8CDZ
18;B00CY9TQQY
38;B00E1C93L0
104;B09NKZWXDD
165;B073SBRHH6
201;B09T74CSCW
144;B086YXF658
70;B06XRZ8GB9
64;B07JC1TQ7N
45;B0BQC3HNNZ
129;B08JDLVNZ5
46;B01IEKG3TY
299;B0B787PNL7
139;B07VNTFK87
278;B095R8NNRY
37;B0BQC9J4QN
48;B0BQ3PBRKV
552;B0B94MRX2H
164;B07H28M89D
34;B008BG62A2
69;B07994QL95
77;B0BNGMFMZB
59;B075QJTBVT
29;B0BNTF1GB3
234;B09QQX27GM
59;B075WWN4QJ
29;B0BTCNXJDD
64;B0B5Q9YBM6
64;B08T8J1K6M
155;B0B94MX35D
15;B004UGUVU4
60;B08VH8R94B
49;B009AYWCJE
369;B07TBG66PY
92;B0BGM58VQK
67;B08L9TLPJV
114;B0BNP3MG7K
181;B0BDXQ61Z9
89;B0BJQGBYRK
101;B08VH8C3WZ
83;B00D0L5BH8
20;B07CS92BKQ
26;B091FRKWMD
307;B07T63FDJQ
28;B00461G3MS
114;B07X41PWTY
93;B07KPM58FX
29;B005CT56R6
164;B083JBZC5K
119;B01N99Q637
48;B0BQ3RZ916
27;B07D5SVWS5
119;B0BDXSK2K7
107;B0B1JPYH2Z
361;B0832BL1HC
46;B008B0RQ1C
147;B09SBKXNKQ
109;B087QTVCHH
271;B07J351T2V
23;B0077IQ0AM
104;B07VTW2LPX
164;B09B424KYN
106;B083XVY99B
118;B01LOOJBQY
49;B0151KM3I0
52;B0BGXWT3GL
107;B093BVXYSV
132;B08JDX2HZF
29;B0BNVQNGSK
57;B07FFVYDF3
94;B07115ZSQ6
410;B08JV6PP9B
101;B09NHV3CK9
144;B075WYBQXJ
59;B07H2RR55Q
6490;B07J2BJX8V
58;B0BS9Z2FFT
164;B08PHSVW7K
39;B01DRWWLUO
62;B09H1653PD
29;B0BNTCB1R1
227;B09Q2NCFS7
21;B0BM4B1XJS
3999;B01LY4753N
93;B0B7VWFN4B
21;B08LNZLPS8
47;B083ZL7JG2
23;B08BCQQT1H
22;B07WCM8CVG
32;B076Y374ZH
114;B0B6881T53
40;B07QFXJ3NX
72;B073SBX6TY
32;B076PGM4Y5
5440;B0739VQ723
86;B07SSDJHWY
35;B079JW4ZB8
54;B0BNLDJJ2P
56;B0BKGFVRWM
35;B082BJ4679
78;B072R78B6Q
124;B0971FN5MV
69;B089CGW6RC
34;B0BK9YDTWD
29;B0B55SWRCY
73;B088TK2P15
57;B07ZHG8KZ1
19;B0B8NBL23V
159;B0B9C3ZVHR
39;B086BKGSC1
29;B07P8462PM
64;B09QVPCJN2
61;B07XFGPFZK
22;B07ZH6QR8Q
79;B09GRDM8C4
60;B08W1F8YGJ
24;B08W31HYVC
19;B01N3380LJ
125;B0B7CKVCCV
56;B0BM3RZW6W
94;B07YD5TK4F
69;B09DVQQL9G
5928;B004Y0NAYU
39;B09TN1VKZL
52;B0B25NTRGD
20;B08F58NJFB
89;B0BNLM3KXX
